assetPath,displayName,prefabName,category,role,rendererName,materialName,colorHex,colorName
"Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Broadsword","Weapon_Broad_Sword_01","Sword","blade","Weapon Model","lambert2","BCBCBC","gray"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Knight Shield","Weapon_Medium_Shield_01","Shield","shield face","Weapon Model","M_Prop_Master_Texture_01","FFFFFF","off-white"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Axe","Weapon_Dungeon_Axe_01","Axe","head","Weapon Model","Dungeon_Material_01","423C37","palette of brown, dark yellow, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Bladed Mace","Weapon_Dungeon_Mace_Blades_01","Blunt","blade","Weapon Model","Dungeon_Material_01","312A21","palette of brown, dark yellow, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Bone Club 01","Weapon_Dungeon_Bone_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","3B3328","brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Bone Club 02","Weapon_Dungeon_Bone_02","Polearm","shaft","Weapon Model","Dungeon_Material_01","3B3328","brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Bone Goblin Axe","Weapon_Dungeon_Goblin_Bone_Axe_01","Axe","head","Weapon Model","Dungeon_Material_01","6B342C","palette of red, dark gold, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Bone Goblin Shiv","Weapon_Dungeon_Goblin_Shiv_Bone_01","Dagger","blade","Weapon Model","Dungeon_Material_01","3B3328","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Bone Shield","Weapon_Dungeon_Shield_Bone_01","Shield","shield face","Weapon Model","Dungeon_Material_01","322B22","palette of brown, red, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Broken Sword","Weapon_Dungeon_BrokenSword_01","Sword","blade","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark orange, dark yellow"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Chitin Shield","Weapon_Dungeon_Shield_Chitin_01","Shield","shield face","Weapon Model","Dungeon_Material_01","160F0A","palette of dark orange, dark gold, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Crystal Axe","Weapon_Dungeon_Crystal_Axe_01","Axe","accent","Weapon Model","Dungeon_Material_01","3A3227","palette of brown, red, dark yellow"
