assetPath,displayName
"Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset","Mystic Talisman"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Broadsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Knight Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Bladed Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Bone Club 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Bone Club 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Bone Goblin Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Bone Goblin Shiv"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Bone Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Broken Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Chitin Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Crystal Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Crystal Great Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Crystal Halberd"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Crystal Ornate Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Crystal Twinblade"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Curved Greatsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Cutlass"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Double-Bladed Staff"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Gem Goblin Hammer"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Gem Staff"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Goblin Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Goblin Club"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Goblin Great Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Goblin Halberd"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset","Goblin Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Machete.asset","Goblin Machete"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Spear.asset","Goblin Spear"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Staff.asset","Goblin Staff"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gravestone Shield.asset","Gravestone Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Greatsword.asset","Greatsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Halberd.asset","Halberd"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer 02.asset","Hammer 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset","Hammer"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset","Hand Axe"
