assetPath,currentObjectName,currentDisplayName,suggestedDisplayName,itemType,weaponClass,weaponModelType,prefabName,meshNames,previewPath,namingNotes
"Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset","Mystic Talisman","Mystic Talisman","Talisman","CasterWeaponItem","Fist","Weapon","","","Assets/Game/Docs/WeaponPreviewExports/Previews/Mystic Talisman.png","source='Mystic Talisman', prefab='', type='Talisman', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Broadsword","Broadsword","Broadsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Broad_Sword_01","PP_Sword_0036","Assets/Game/Docs/WeaponPreviewExports/Previews/Broadsword.png","source='Broadsword', prefab='Weapon_Broad_Sword_01', type='Broadsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Knight Shield","Knight Shield","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Medium_Shield_01","Md_Prop_Shield_KnightsShield_00","Assets/Game/Docs/WeaponPreviewExports/Previews/Knight Shield.png","source='Knight Shield', prefab='Weapon_Medium_Shield_01', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Axe","Axe","Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Axe_01","SM_Wep_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Axe.png","source='Axe', prefab='Weapon_Dungeon_Axe_01', type='Axe', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Bladed Mace","Bladed Mace","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Mace_Blades_01","SM_Wep_Mace_Blades_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Bladed Mace.png","source='Bladed Mace', prefab='Weapon_Dungeon_Mace_Blades_01', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Bone Club 01","Bone Club 01","Bone Club","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Bone_01","SM_Wep_Bone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 01.png","source='Bone Club 01', prefab='Weapon_Dungeon_Bone_01', type='Club', descriptor='Bone'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Bone Club 02","Bone Club 02","Bone Club","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Bone_02","SM_Wep_Bone_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 02.png","source='Bone Club 02', prefab='Weapon_Dungeon_Bone_02', type='Club', descriptor='Bone'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Bone Goblin Axe","Bone Goblin Axe","Goblin Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Bone_Axe_01","SM_Wep_Goblin_Bone_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Axe.png","source='Bone Goblin Axe', prefab='Weapon_Dungeon_Goblin_Bone_Axe_01', type='Axe', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Bone Goblin Shiv","Bone Goblin Shiv","Goblin Shiv","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Shiv_Bone_01","SM_Wep_Goblin_Shiv_Bone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Shiv.png","source='Bone Goblin Shiv', prefab='Weapon_Dungeon_Goblin_Shiv_Bone_01', type='Shiv', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Bone Shield","Bone Shield","Bone Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Dungeon_Shield_Bone_01","SM_Wep_Shield_Bone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Shield.png","source='Bone Shield', prefab='Weapon_Dungeon_Shield_Bone_01', type='Shield', descriptor='Bone'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Broken Sword","Broken Sword","Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_BrokenSword_01","SM_Wep_BrokenSword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Broken Sword.png","source='Broken Sword', prefab='Weapon_Dungeon_BrokenSword_01', type='Sword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Chitin Shield","Chitin Shield","Chitin Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Dungeon_Shield_Chitin_01","SM_Wep_Shield_Chitin_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Chitin Shield.png","source='Chitin Shield', prefab='Weapon_Dungeon_Shield_Chitin_01', type='Shield', descriptor='Chitin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Crystal Axe","Crystal Axe","Crystal Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Crystal_Axe_01","SM_Wep_Crystal_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Axe.png","source='Crystal Axe', prefab='Weapon_Dungeon_Crystal_Axe_01', type='Axe', descriptor='Crystal'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Crystal Great Axe","Crystal Great Axe","Crystal Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Crystal_Axe_Large_01","SM_Wep_Crystal_Axe_Large_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Great Axe.png","source='Crystal Great Axe', prefab='Weapon_Dungeon_Crystal_Axe_Large_01', type='Axe', descriptor='Crystal'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Crystal Halberd","Crystal Halberd","Crystal Halberd","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Crysta_Halberdl_01","SM_Wep_Crysta_Halberdl_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Halberd.png","source='Crystal Halberd', prefab='Weapon_Dungeon_Crysta_Halberdl_01', type='Halberd', descriptor='Crystal'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Crystal Ornate Sword","Crystal Ornate Sword","Crystal Straight Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Crystal_Ornate_Straightsword_01","SM_Wep_Crystal_Ornate_Straightsword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Ornate Sword.png","source='Crystal Ornate Sword', prefab='Weapon_Dungeon_Crystal_Ornate_Straightsword_01', type='Straight Sword', descriptor='Crystal'"
