name,assetPath,previewPath,weaponClass,weaponModelType,promptCategory,prompt
"Mystic Talisman","Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Mystic Talisman.png","Fist","Weapon","focus","Create a single game inventory icon PNG of 'Mystic Talisman'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact compact silhouette, outer contour, and major mass placement from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly magical object materials with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the object. Do not add gems, chains, particles, glow effects, floating pieces, or ornate detail unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Broadsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Broadsword.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Broadsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Knight Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Knight Shield.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Knight Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal and leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bladed Mace","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bladed Mace.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Bladed Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bone Club 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 01.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Bone Club 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bone Club 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 02.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Bone Club 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bone Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Bone Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bone Goblin Shiv","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Shiv.png","StraightSword","Weapon","dagger","Create a single game inventory icon PNG of 'Bone Goblin Shiv'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard size, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the dagger. Do not add extra guard detail, extra serration, gem inlays, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Bone Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Shield.png","LightShield","Shield","shield","Create a single game inventory icon PNG of 'Bone Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
